sample_id,population_id,superpopulation,dataset,country,neural_ancestry,supervised,in_qc_panel,African,American,East Asian,European,South Asian,max_ancestry,assigned_group
HG00096,GBR,European,kg,,European,yes,yes,1e-05,0.005933,1e-05,0.994037,1e-05,0.994037,European
HG00097,GBR,European,kg,,European,yes,yes,1e-05,0.018424,1e-05,0.979847,0.00171,0.979847,European
HG00099,GBR,European,kg,,European,yes,yes,1e-05,0.016973,1e-05,0.982997,1e-05,0.982997,European
HG00100,GBR,European,kg,,European,yes,yes,1e-05,0.023134,1e-05,0.976836,1e-05,0.976836,European
HG00101,GBR,European,kg,,European,yes,yes,1e-05,0.016426,1e-05,0.983544,1e-05,0.983544,European
HG00102,GBR,European,kg,,European,yes,yes,1e-05,0.016899,1e-05,0.97375,0.009331,0.97375,European
HG00103,GBR,European,kg,,European,yes,yes,1e-05,0.020089,1e-05,0.979881,1e-05,0.979881,European
HG00105,GBR,European,kg,,European,yes,yes,1e-05,0.018452,1e-05,0.977558,0.00397,0.977558,European
HG00106,GBR,European,kg,,European,yes,yes,1e-05,0.018684,1e-05,0.967538,0.013758,0.967538,European
HG00107,GBR,European,kg,,European,yes,yes,1e-05,0.025578,1e-05,0.974392,1e-05,0.974392,European
HG00108,GBR,European,kg,,European,yes,yes,1e-05,0.019379,1e-05,0.980591,1e-05,0.980591,European
HG00109,GBR,European,kg,,European,yes,yes,1e-05,0.00318,1e-05,0.99679,1e-05,0.99679,European
HG00110,GBR,European,kg,,European,yes,yes,1e-05,0.019154,1e-05,0.980816,1e-05,0.980816,European
HG00111,GBR,European,kg,,European,yes,yes,1e-05,0.017889,1e-05,0.978158,0.003933,0.978158,European
HG00112,GBR,European,kg,,European,yes,yes,1e-05,0.013723,1e-05,0.98196,0.004297,0.98196,European
HG00113,GBR,European,kg,,European,yes,yes,1e-05,0.013751,1e-05,0.986219,1e-05,0.986219,European
HG00114,GBR,European,kg,,European,yes,yes,1e-05,0.01374,1e-05,0.979339,0.0069,0.979339,European
HG00115,GBR,European,kg,,European,yes,yes,1e-05,0.013595,1e-05,0.986375,1e-05,0.986375,European
HG00116,GBR,European,kg,,European,yes,yes,1e-05,0.012446,1e-05,0.987524,1e-05,0.987524,European
HG00117,GBR,European,kg,,European,yes,yes,1e-05,0.014432,1e-05,0.985538,1e-05,0.985538,European
HG00118,GBR,European,kg,,European,yes,yes,1e-05,0.02181,1e-05,0.97816,1e-05,0.97816,European
HG00119,GBR,European,kg,,European,yes,yes,1e-05,0.019516,1e-05,0.980454,1e-05,0.980454,European
HG00120,GBR,European,kg,,European,yes,no,,,,,,,
HG00121,GBR,European,kg,,European,yes,yes,1e-05,0.016777,1e-05,0.983193,1e-05,0.983193,European
HG00122,GBR,European,kg,,European,yes,yes,1e-05,0.019877,1e-05,0.977982,0.00212,0.977982,European
HG00123,GBR,European,kg,,European,yes,yes,1e-05,0.008311,1e-05,0.987701,0.003967,0.987701,European
HG00125,GBR,European,kg,,European,yes,yes,1e-05,0.028069,1e-05,0.971901,1e-05,0.971901,European
HG00126,GBR,European,kg,,European,yes,yes,1e-05,0.00988,1e-05,0.99009,1e-05,0.99009,European
HG00127,GBR,European,kg,,European,yes,yes,1e-05,0.00905,1e-05,0.99092,1e-05,0.99092,European
HG00128,GBR,European,kg,,European,yes,yes,1e-05,0.00339,1e-05,0.986211,0.010379,0.986211,European
HG00129,GBR,European,kg,,European,yes,yes,1e-05,0.017543,1e-05,0.982427,1e-05,0.982427,European
HG00130,GBR,European,kg,,European,yes,yes,1e-05,0.008492,1e-05,0.990012,0.001476,0.990012,European
HG00131,GBR,European,kg,,European,yes,yes,1e-05,0.013754,1e-05,0.986216,1e-05,0.986216,European
HG00132,GBR,European,kg,,European,yes,yes,1e-05,0.00292,1e-05,0.990491,0.006569,0.990491,European
HG00133,GBR,European,kg,,European,yes,yes,1e-05,0.00517,1e-05,0.9948,1e-05,0.9948,European
HG00136,GBR,European,kg,,European,yes,yes,1e-05,0.013937,0.004421,0.981621,1e-05,0.981621,European
HG00137,GBR,European,kg,,European,yes,yes,1e-05,0.010055,1e-05,0.989915,1e-05,0.989915,European
HG00138,GBR,European,kg,,European,yes,yes,0.001128,0.005597,1e-05,0.993255,1e-05,0.993255,European
HG00139,GBR,European,kg,,European,yes,yes,1e-05,0.012334,1e-05,0.987636,1e-05,0.987636,European
HG00140,GBR,European,kg,,European,yes,yes,1e-05,0.014951,1e-05,0.984472,0.000557,0.984472,European
HG00141,GBR,European,kg,,European,yes,yes,1e-05,0.021256,0.000848,0.977876,1e-05,0.977876,European
HG00142,GBR,European,kg,,European,yes,yes,1e-05,0.001529,0.007202,0.989941,0.001318,0.989941,European
HG00143,GBR,European,kg,,European,yes,yes,1e-05,0.013568,1e-05,0.986402,1e-05,0.986402,European
HG00145,GBR,European,kg,,European,yes,yes,1e-05,0.018134,1e-05,0.976595,0.005252,0.976595,European
HG00146,GBR,European,kg,,European,yes,yes,1e-05,0.01569,1e-05,0.98428,1e-05,0.98428,European
HG00148,GBR,European,kg,,European,yes,yes,1e-05,0.012597,1e-05,0.987294,8.9e-05,0.987294,European
HG00149,GBR,European,kg,,European,yes,yes,1e-05,0.005307,1e-05,0.994663,1e-05,0.994663,European
HG00150,GBR,European,kg,,European,yes,yes,1e-05,0.017869,1e-05,0.982101,1e-05,0.982101,European
HG00151,GBR,European,kg,,European,yes,yes,1e-05,0.019051,1e-05,0.980919,1e-05,0.980919,European
HG00154,GBR,European,kg,,European,yes,yes,1e-05,0.011342,1e-05,0.988628,1e-05,0.988628,European
HG00155,GBR,European,kg,,European,yes,yes,1e-05,0.02313,1e-05,0.97684,1e-05,0.97684,European
HG00157,GBR,European,kg,,European,yes,yes,1e-05,0.004186,1e-05,0.995784,1e-05,0.995784,European
HG00158,GBR,European,kg,,European,yes,yes,1e-05,0.025394,1e-05,0.974576,1e-05,0.974576,European
HG00159,GBR,European,kg,,European,yes,yes,1e-05,0.014547,1e-05,0.985423,1e-05,0.985423,European
HG00160,GBR,European,kg,,European,yes,yes,1e-05,0.012601,1e-05,0.987369,1e-05,0.987369,European
HG00171,FIN,European,kg,,European,yes,yes,1e-05,0.06073,0.04785,0.891401,1e-05,0.891401,European
HG00173,FIN,European,kg,,European,yes,yes,1e-05,0.048206,0.040693,0.911082,1e-05,0.911082,European
HG00174,FIN,European,kg,,European,yes,yes,1e-05,0.03683,0.022327,0.940823,1e-05,0.940823,European
HG00176,FIN,European,kg,,European,yes,yes,1e-05,0.046468,0.051823,0.90169,1e-05,0.90169,European
HG00177,FIN,European,kg,,European,yes,yes,1e-05,0.052704,0.058074,0.889202,1e-05,0.889202,European
HG00178,FIN,European,kg,,European,yes,yes,1e-05,0.033396,0.060128,0.906456,1e-05,0.906456,European
HG00179,FIN,European,kg,,European,yes,yes,1e-05,0.04965,0.042757,0.907573,1e-05,0.907573,European
HG00180,FIN,European,kg,,European,yes,yes,1e-05,0.045104,0.056576,0.8983,1e-05,0.8983,European
HG00181,FIN,European,kg,,European,yes,yes,1e-05,0.025047,0.044827,0.908775,0.02134,0.908775,European
HG00182,FIN,European,kg,,European,yes,yes,1e-05,0.053908,0.050814,0.895258,1e-05,0.895258,European
HG00183,FIN,European,kg,,European,yes,yes,1e-05,0.039759,0.054187,0.90399,0.002053,0.90399,European
HG00185,FIN,European,kg,,European,yes,yes,1e-05,0.044649,0.062837,0.892494,1e-05,0.892494,European
HG00186,FIN,European,kg,,European,yes,yes,1e-05,0.048948,0.045963,0.90507,1e-05,0.90507,European
HG00187,FIN,European,kg,,European,yes,yes,1e-05,0.054667,0.059914,0.885399,1e-05,0.885399,European
HG00188,FIN,European,kg,,European,yes,yes,1e-05,0.051268,0.039645,0.909067,1e-05,0.909067,European
HG00189,FIN,European,kg,,European,yes,yes,1e-05,0.04812,0.042191,0.909669,1e-05,0.909669,European
HG00190,FIN,European,kg,,European,yes,yes,1e-05,0.036987,0.038365,0.918675,0.005963,0.918675,European
HG00231,GBR,European,kg,,European,yes,yes,1e-05,0.01901,1e-05,0.98096,1e-05,0.98096,European
HG00232,GBR,European,kg,,European,yes,yes,1e-05,0.010292,1e-05,0.989678,1e-05,0.989678,European
HG00233,GBR,European,kg,,European,yes,yes,1e-05,0.012828,1e-05,0.987142,1e-05,0.987142,European
HG00234,GBR,European,kg,,European,yes,yes,1e-05,0.013192,1e-05,0.986778,1e-05,0.986778,European
HG00235,GBR,European,kg,,European,yes,yes,1e-05,0.012022,1e-05,0.987948,1e-05,0.987948,European
HG00236,GBR,European,kg,,European,yes,yes,1e-05,0.004697,0.0046,0.990684,1e-05,0.990684,European
HG00237,GBR,European,kg,,European,yes,yes,1e-05,0.007923,0.002455,0.981468,0.008143,0.981468,European
HG00238,GBR,European,kg,,European,yes,yes,1e-05,0.016645,1e-05,0.978451,0.004884,0.978451,European
HG00239,GBR,European,kg,,European,yes,yes,1e-05,0.016873,1e-05,0.983097,1e-05,0.983097,European
HG00240,GBR,European,kg,,European,yes,no,,,,,,,
HG00242,GBR,European,kg,,European,yes,yes,1e-05,0.015925,1e-05,0.984045,1e-05,0.984045,European
HG00243,GBR,European,kg,,European,yes,yes,1e-05,0.008741,1e-05,0.991229,1e-05,0.991229,European
HG00244,GBR,European,kg,,European,yes,yes,1e-05,0.01683,1e-05,0.98314,1e-05,0.98314,European
HG00245,GBR,European,kg,,European,yes,yes,1e-05,0.022509,1e-05,0.977461,1e-05,0.977461,European
HG00246,GBR,European,kg,,European,yes,yes,1e-05,0.019815,1e-05,0.980155,1e-05,0.980155,European
HG00250,GBR,European,kg,,European,yes,yes,1e-05,0.014068,1e-05,0.985902,1e-05,0.985902,European
HG00251,GBR,European,kg,,European,yes,yes,1e-05,0.019397,1e-05,0.980573,1e-05,0.980573,European
HG00252,GBR,European,kg,,European,yes,yes,1e-05,0.016966,0.007373,0.975641,1e-05,0.975641,European
HG00253,GBR,European,kg,,European,yes,yes,1e-05,0.014526,1e-05,0.985444,1e-05,0.985444,European
HG00254,GBR,European,kg,,European,yes,yes,1e-05,0.016419,1e-05,0.97913,0.004431,0.97913,European
HG00255,GBR,European,kg,,European,yes,yes,1e-05,0.013583,1e-05,0.981193,0.005203,0.981193,European
HG00256,GBR,European,kg,,European,yes,yes,1e-05,0.002612,1.3e-05,0.997355,1e-05,0.997355,European
HG00257,GBR,European,kg,,European,yes,yes,1e-05,0.015828,1e-05,0.984142,1e-05,0.984142,European
HG00258,GBR,European,kg,,European,yes,yes,1e-05,0.012905,1e-05,0.987065,1e-05,0.987065,European
HG00259,GBR,European,kg,,European,yes,yes,1e-05,0.011145,1e-05,0.985664,0.003171,0.985664,European
HG00260,GBR,European,kg,,European,yes,yes,1e-05,0.015963,1e-05,0.984007,1e-05,0.984007,European
HG00261,GBR,European,kg,,European,yes,yes,1e-05,0.008241,1.2e-05,0.991727,1e-05,0.991727,European
HG00262,GBR,European,kg,,European,yes,yes,1e-05,0.013794,1e-05,0.986176,1e-05,0.986176,European
HG00263,GBR,European,kg,,European,yes,yes,1e-05,0.013333,1e-05,0.981502,0.005145,0.981502,European
HG00264,GBR,European,kg,,European,yes,yes,1e-05,0.011189,1e-05,0.988781,1e-05,0.988781,European
HG00265,GBR,European,kg,,European,yes,yes,1e-05,0.017102,1e-05,0.982868,1e-05,0.982868,European
HG00266,FIN,European,kg,,European,yes,yes,1e-05,0.040988,0.050951,0.908041,1e-05,0.908041,European
HG00267,FIN,European,kg,,European,yes,yes,1e-05,0.040447,0.063253,0.896281,1e-05,0.896281,European
HG00268,FIN,European,kg,,European,yes,yes,1e-05,0.043205,0.032855,0.92392,1e-05,0.92392,European
HG00269,FIN,European,kg,,European,yes,yes,1e-05,0.042333,0.040261,0.917386,1e-05,0.917386,European
HG00271,FIN,European,kg,,European,yes,yes,1e-05,0.049767,0.057961,0.892252,1e-05,0.892252,European
HG00272,FIN,European,kg,,European,yes,yes,1e-05,0.050328,0.065738,0.871226,0.012698,0.871226,European
HG00273,FIN,European,kg,,European,yes,yes,1e-05,0.032366,0.040922,0.926692,1e-05,0.926692,European
HG00274,FIN,European,kg,,European,yes,yes,1e-05,0.053811,0.033015,0.913154,1e-05,0.913154,European
HG00275,FIN,European,kg,,European,yes,yes,1e-05,0.035599,0.032894,0.931487,1e-05,0.931487,European
HG00276,FIN,European,kg,,European,yes,yes,1e-05,0.04911,0.04617,0.9047,1e-05,0.9047,European
HG00277,FIN,European,kg,,European,yes,yes,1e-05,0.031094,0.031235,0.937652,1e-05,0.937652,European
HG00278,FIN,European,kg,,European,yes,yes,1e-05,0.031535,0.056949,0.900258,0.011248,0.900258,European
HG00280,FIN,European,kg,,European,yes,yes,1e-05,0.03466,0.051627,0.913693,1e-05,0.913693,European
HG00281,FIN,European,kg,,European,yes,yes,1e-05,0.052262,0.034048,0.908092,0.005588,0.908092,European
HG00282,FIN,European,kg,,European,yes,yes,1e-05,0.039084,0.053573,0.907322,1e-05,0.907322,European
HG00284,FIN,European,kg,,European,yes,yes,1e-05,0.041833,0.036302,0.920907,0.000948,0.920907,European
HG00285,FIN,European,kg,,European,yes,yes,1e-05,0.044263,0.055108,0.900609,1e-05,0.900609,European
HG00288,FIN,European,kg,,European,yes,yes,1e-05,0.052859,0.02812,0.90828,0.01073,0.90828,European
HG00290,FIN,European,kg,,European,yes,yes,1e-05,0.043054,0.057553,0.899373,1e-05,0.899373,European
HG00304,FIN,European,kg,,European,yes,yes,1e-05,0.040471,0.040644,0.918866,1e-05,0.918866,European
HG00306,FIN,European,kg,,European,yes,yes,1e-05,0.039358,0.028518,0.92305,0.009063,0.92305,European
HG00308,FIN,European,kg,,European,yes,yes,1e-05,0.040559,0.057948,0.901473,1e-05,0.901473,European
HG00309,FIN,European,kg,,European,yes,yes,1e-05,0.040194,0.049221,0.910565,1e-05,0.910565,European
HG00310,FIN,European,kg,,European,yes,yes,1e-05,0.035614,0.031982,0.932385,1e-05,0.932385,European
HG00311,FIN,European,kg,,European,yes,yes,1e-05,0.034236,0.020897,0.944847,1e-05,0.944847,European
HG00313,FIN,European,kg,,European,yes,yes,1e-05,0.039831,0.05792,0.902229,1e-05,0.902229,European
HG00315,FIN,European,kg,,European,yes,yes,1e-05,0.054338,0.047455,0.898188,1e-05,0.898188,European
HG00318,FIN,European,kg,,European,yes,yes,1e-05,0.040262,0.033143,0.926575,1e-05,0.926575,European
HG00319,FIN,European,kg,,European,yes,yes,1e-05,0.039734,0.049629,0.910617,1e-05,0.910617,European
HG00320,FIN,European,kg,,European,yes,yes,1e-05,0.050682,0.035532,0.913766,1e-05,0.913766,European
HG00321,FIN,European,kg,,European,yes,yes,1e-05,0.042911,0.05293,0.904139,1e-05,0.904139,European
HG00323,FIN,European,kg,,European,yes,yes,1e-05,0.034435,0.069419,0.896126,1e-05,0.896126,European
HG00324,FIN,European,kg,,European,yes,yes,1e-05,0.049613,0.051344,0.899023,1e-05,0.899023,European
HG00325,FIN,European,kg,,European,yes,yes,1e-05,0.041961,0.067265,0.890754,1e-05,0.890754,European
HG00326,FIN,European,kg,,European,yes,yes,1e-05,0.034953,0.046217,0.91881,1e-05,0.91881,European
HG00327,FIN,European,kg,,European,yes,yes,1e-05,0.060531,0.039198,0.900251,1e-05,0.900251,European
HG00328,FIN,European,kg,,European,yes,yes,1e-05,0.044668,0.027221,0.92809,1e-05,0.92809,European
HG00329,FIN,European,kg,,European,yes,yes,1e-05,0.033115,0.036839,0.930026,1e-05,0.930026,European
HG00330,FIN,European,kg,,European,yes,yes,1e-05,0.045492,0.042002,0.912486,1e-05,0.912486,European
HG00331,FIN,European,kg,,European,yes,yes,1e-05,0.043441,0.030091,0.92485,0.001608,0.92485,European
HG00332,FIN,European,kg,,European,yes,yes,1e-05,0.050736,0.031833,0.917411,1e-05,0.917411,European
HG00334,FIN,European,kg,,European,yes,yes,1e-05,0.034555,0.023478,0.941947,1e-05,0.941947,European
HG00335,FIN,European,kg,,European,yes,yes,1e-05,0.040459,0.036807,0.922714,1e-05,0.922714,European
HG00336,FIN,European,kg,,European,yes,yes,1e-05,0.041644,0.05629,0.902046,1e-05,0.902046,European
HG00337,FIN,European,kg,,European,yes,yes,1e-05,0.04207,0.032535,0.925375,1e-05,0.925375,European
HG00338,FIN,European,kg,,European,yes,yes,1e-05,0.048474,0.02977,0.921736,1e-05,0.921736,European
HG00339,FIN,European,kg,,European,yes,yes,1e-05,0.032499,0.050258,0.917223,1e-05,0.917223,European
HG00341,FIN,European,kg,,European,yes,yes,1e-05,0.03857,0.036696,0.915459,0.009265,0.915459,European
HG00342,FIN,European,kg,,European,yes,yes,1e-05,0.034837,0.058866,0.906276,1e-05,0.906276,European
HG00343,FIN,European,kg,,European,yes,yes,1e-05,0.046498,0.039185,0.914297,1e-05,0.914297,European
HG00344,FIN,European,kg,,European,yes,yes,1e-05,0.033491,0.010768,0.955721,1e-05,0.955721,European
HG00345,FIN,European,kg,,European,yes,yes,1e-05,0.042481,0.046162,0.911337,1e-05,0.911337,European
HG00346,FIN,European,kg,,European,yes,yes,1e-05,0.033387,0.041082,0.925512,1e-05,0.925512,European
HG00349,FIN,European,kg,,European,yes,yes,1e-05,0.036709,0.062637,0.900634,1e-05,0.900634,European
HG00350,FIN,European,kg,,European,yes,yes,1e-05,0.024063,0.032139,0.943777,1e-05,0.943777,European
HG00351,FIN,European,kg,,European,yes,yes,1e-05,0.038305,0.044698,0.916977,1e-05,0.916977,European
HG00353,FIN,European,kg,,European,yes,yes,1e-05,0.036969,0.06534,0.897672,1e-05,0.897672,European
HG00355,FIN,European,kg,,European,yes,yes,1e-05,0.04176,0.03448,0.92374,1e-05,0.92374,European
HG00356,FIN,European,kg,,European,yes,yes,1e-05,0.041713,0.041722,0.916545,1e-05,0.916545,European
HG00357,FIN,European,kg,,European,yes,yes,1e-05,0.045782,0.03398,0.920218,1e-05,0.920218,European
HG00358,FIN,European,kg,,European,yes,yes,1e-05,0.04803,0.055479,0.896471,1e-05,0.896471,European
HG00360,FIN,European,kg,,European,yes,yes,1e-05,0.034604,0.03678,0.928596,1e-05,0.928596,European
HG00361,FIN,European,kg,,European,yes,yes,1e-05,0.04878,0.059785,0.891414,1e-05,0.891414,European
HG00362,FIN,European,kg,,European,yes,yes,1e-05,0.037853,0.039594,0.910723,0.01182,0.910723,European
HG00364,FIN,European,kg,,European,yes,yes,1e-05,0.051301,0.040183,0.908496,1e-05,0.908496,European
HG00365,FIN,European,kg,,European,yes,yes,1e-05,0.042892,0.039897,0.91719,1e-05,0.91719,European
HG00366,FIN,European,kg,,European,yes,yes,1e-05,0.042288,0.052749,0.904943,1e-05,0.904943,European
HG00367,FIN,European,kg,,European,yes,yes,1e-05,0.044867,0.053513,0.9016,1e-05,0.9016,European
HG00368,FIN,European,kg,,European,yes,yes,1e-05,0.054472,0.051615,0.893893,1e-05,0.893893,European
HG00369,FIN,European,kg,,European,yes,yes,1e-05,0.047487,0.049237,0.903257,1e-05,0.903257,European
HG00371,FIN,European,kg,,European,yes,yes,1e-05,0.045565,0.039099,0.909455,0.00587,0.909455,European
HG00372,FIN,European,kg,,European,yes,yes,1e-05,0.041134,0.044704,0.914141,1e-05,0.914141,European
HG00373,FIN,European,kg,,European,yes,yes,1e-05,0.04865,0.066544,0.884786,1e-05,0.884786,European
HG00375,FIN,European,kg,,European,yes,yes,1e-05,0.033085,0.047876,0.919018,1e-05,0.919018,European
HG00376,FIN,European,kg,,European,yes,yes,1e-05,0.038295,0.022491,0.939194,1e-05,0.939194,European
HG00378,FIN,European,kg,,European,yes,yes,1e-05,0.037017,0.046058,0.916905,1e-05,0.916905,European
HG00379,FIN,European,kg,,European,yes,yes,1e-05,0.040302,0.031233,0.920114,0.00834,0.920114,European
HG00380,FIN,European,kg,,European,yes,yes,1e-05,0.021708,0.016774,0.954959,0.00655,0.954959,European
HG00381,FIN,European,kg,,European,yes,yes,1e-05,0.034124,0.046137,0.919718,1e-05,0.919718,European
HG00382,FIN,European,kg,,European,yes,yes,1e-05,0.045649,0.061569,0.892762,1e-05,0.892762,European
HG00383,FIN,European,kg,,European,yes,yes,1e-05,0.04502,0.052683,0.902277,1e-05,0.902277,European
HG00384,FIN,European,kg,,European,yes,yes,1e-05,0.041878,0.03583,0.922272,1e-05,0.922272,European
HG00403,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1.2e-05,0.999954,1.4e-05,1e-05,0.999954,East Asian
HG00404,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00405,CHS,East Asian,kg,,,yes,no,,,,,,,
HG00406,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00407,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00408,CHS,East Asian,kg,,,yes,no,,,,,,,
HG00409,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1.4e-05,0.999956,1e-05,1e-05,0.999956,East Asian
HG00410,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00418,CHS,East Asian,kg,,,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00419,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00420,CHS,East Asian,kg,,,yes,no,,,,,,,
HG00421,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00422,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00423,CHS,East Asian,kg,,,yes,no,,,,,,,
HG00427,CHS,East Asian,kg,,,yes,no,,,,,,,
HG00428,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00429,CHS,East Asian,kg,,,yes,no,,,,,,,
HG00436,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00437,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00438,CHS,East Asian,kg,,,yes,no,,,,,,,
HG00442,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00443,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00444,CHS,East Asian,kg,,,yes,no,,,,,,,
HG00445,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00446,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00447,CHS,East Asian,kg,,,yes,no,,,,,,,
HG00448,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00449,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00450,CHS,East Asian,kg,,,yes,no,,,,,,,
HG00451,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00452,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00453,CHS,East Asian,kg,,,yes,no,,,,,,,
HG00457,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00458,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00459,CHS,East Asian,kg,,,yes,no,,,,,,,
HG00463,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00464,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00465,CHS,East Asian,kg,,,yes,no,,,,,,,
HG00472,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00473,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00474,CHS,East Asian,kg,,,yes,no,,,,,,,
HG00475,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00476,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00477,CHS,East Asian,kg,,,yes,no,,,,,,,
HG00478,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00479,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1.4e-05,0.999956,1e-05,1e-05,0.999956,East Asian
HG00480,CHS,East Asian,kg,,,yes,no,,,,,,,
HG00500,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00501,CHS,East Asian,kg,,,yes,no,,,,,,,
HG00502,CHS,East Asian,kg,,,yes,no,,,,,,,
HG00512,CHS,East Asian,kg,,,yes,yes,1e-05,1.2e-05,0.999958,1e-05,1e-05,0.999958,East Asian
HG00513,CHS,East Asian,kg,,East Asian,yes,yes,1.1e-05,1e-05,0.999959,1e-05,1e-05,0.999959,East Asian
HG00514,CHS,East Asian,kg,,,yes,no,,,,,,,
HG00524,CHS,East Asian,kg,,East Asian,yes,no,,,,,,,
HG00525,CHS,East Asian,kg,,East Asian,yes,yes,1.1e-05,1e-05,0.999959,1e-05,1e-05,0.999959,East Asian
HG00526,CHS,East Asian,kg,,,yes,no,,,,,,,
HG00530,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00531,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00532,CHS,East Asian,kg,,,yes,no,,,,,,,
HG00533,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00534,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00535,CHS,East Asian,kg,,,yes,no,,,,,,,
HG00536,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
HG00537,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1.3e-05,0.999957,1e-05,1e-05,0.999957,East Asian
HG00538,CHS,East Asian,kg,,,yes,no,,,,,,,
HG00542,CHS,East Asian,kg,,East Asian,yes,no,,,,,,,
HG00543,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,2e-05,0.99995,1e-05,1e-05,0.99995,East Asian
HG00544,CHS,East Asian,kg,,,yes,no,,,,,,,
HG00551,PUR,American,kg,,,no,yes,0.095736,0.126976,0.011174,0.766103,1e-05,0.766103,European
HG00552,PUR,American,kg,,,no,no,,,,,,,
HG00553,PUR,American,kg,,,no,yes,0.200802,0.173596,1e-05,0.625582,1e-05,0.625582,European
HG00554,PUR,American,kg,,,no,yes,0.083331,0.115076,1e-05,0.801573,1e-05,0.801573,European
HG00555,PUR,American,kg,,,no,no,,,,,,,
HG00556,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,1e-05,0.99996,1e-05,1e-05,0.99996,East Asian
