sample_id,population_id,superpopulation,dataset,country,neural_ancestry,supervised,in_qc_panel,African,American,East Asian,European,Oceanian,South Asian,max_ancestry,assigned_group
HG02763,GWD,African,kg,,African,no,yes,0.996077,1e-05,1e-05,0.000273,0.00362,1e-05,0.996077,African
HG02764,GWD,African,kg,,,no,no,,,,,,,,
HG02768,GWD,African,kg,,African,no,yes,0.999511,1e-05,0.000449,1e-05,1e-05,1e-05,0.999511,African
HG02769,GWD,African,kg,,African,no,yes,0.98955,1e-05,0.001382,0.009038,1e-05,1e-05,0.98955,African
HG02770,GWD,African,kg,,,no,no,,,,,,,,
HG02771,GWD,African,kg,,African,no,yes,0.998301,1e-05,0.001656,1.3e-05,1e-05,1e-05,0.998301,African
HG02772,GWD,African,kg,,African,no,yes,0.999918,1e-05,4.2e-05,1e-05,1e-05,1e-05,0.999918,African
HG02773,GWD,African,kg,,,no,no,,,,,,,,
HG02774,PJL,South Asian,kg,,South Asian,no,yes,0.006991,1e-05,0.019087,0.089263,0.010399,0.87425,0.87425,South Asian
HG02775,PJL,South Asian,kg,,South Asian,no,yes,1e-05,0.002644,0.041964,0.037883,0.012503,0.904996,0.904996,South Asian
HG02776,PJL,South Asian,kg,,,no,no,,,,,,,,
HG02778,PJL,South Asian,kg,,South Asian,no,yes,1e-05,0.006116,0.022622,0.014915,0.005813,0.950524,0.950524,South Asian
HG02780,PJL,South Asian,kg,,South Asian,no,yes,1e-05,0.004124,0.025752,0.035607,0.011904,0.922603,0.922603,South Asian
HG02783,PJL,South Asian,kg,,South Asian,no,yes,1e-05,1e-05,0.044061,0.008356,1e-05,0.947553,0.947553,South Asian
HG02784,PJL,South Asian,kg,,South Asian,no,yes,0.000703,0.010848,0.01254,0.037755,0.004581,0.933573,0.933573,South Asian
HG02785,PJL,South Asian,kg,,,no,no,,,,,,,,
HG02786,PJL,South Asian,kg,,South Asian,no,yes,1e-05,0.000659,0.02429,1e-05,0.014456,0.960575,0.960575,South Asian
HG02787,PJL,South Asian,kg,,South Asian,no,yes,1e-05,0.009437,0.023928,0.020005,0.009828,0.936792,0.936792,South Asian
HG02788,PJL,South Asian,kg,,,no,no,,,,,,,,
HG02789,PJL,South Asian,kg,,South Asian,no,yes,1e-05,0.005533,0.036601,0.028968,1e-05,0.928878,0.928878,South Asian
HG02790,PJL,South Asian,kg,,South Asian,no,yes,1e-05,0.00669,0.031207,0.03216,0.016185,0.913747,0.913747,South Asian
HG02791,PJL,South Asian,kg,,,no,no,,,,,,,,
HG02792,PJL,South Asian,kg,,South Asian,no,yes,1e-05,0.004807,0.02541,0.012527,0.019809,0.937438,0.937438,South Asian
HG02793,PJL,South Asian,kg,,South Asian,no,yes,1e-05,1e-05,0.028379,0.008121,0.015108,0.948372,0.948372,South Asian
HG02794,PJL,South Asian,kg,,,no,no,,,,,,,,
HG02798,GWD,African,kg,,African,no,yes,0.999221,1e-05,1e-05,1e-05,0.000739,1e-05,0.999221,African
HG02799,GWD,African,kg,,African,no,yes,0.991753,1e-05,0.005156,0.003061,1e-05,1e-05,0.991753,African
HG02800,GWD,African,kg,,,no,no,,,,,,,,
HG02804,GWD,African,kg,,African,no,yes,0.999943,1.7e-05,1e-05,1e-05,1e-05,1e-05,0.999943,African
HG02805,GWD,African,kg,,African,no,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02806,GWD,African,kg,,,no,no,,,,,,,,
HG02807,GWD,African,kg,,African,no,yes,0.978442,1e-05,1e-05,0.021518,1e-05,1e-05,0.978442,African
HG02808,GWD,African,kg,,African,no,yes,0.988251,1e-05,0.00623,1e-05,0.005489,1e-05,0.988251,African
HG02809,GWD,African,kg,,,no,no,,,,,,,,
HG02810,GWD,African,kg,,African,no,yes,0.927116,1e-05,1e-05,0.072844,1e-05,1e-05,0.927116,African
HG02811,GWD,African,kg,,African,no,yes,0.998977,1e-05,0.000983,1e-05,1e-05,1e-05,0.998977,African
HG02812,GWD,African,kg,,,no,no,,,,,,,,
HG02813,GWD,African,kg,,African,no,yes,0.995937,1e-05,0.003013,1e-05,0.00102,1e-05,0.995937,African
HG02814,GWD,African,kg,,African,no,yes,0.988658,1e-05,0.006258,1e-05,0.005054,1e-05,0.988658,African
HG02815,GWD,African,kg,,,no,no,,,,,,,,
HG02816,GWD,African,kg,,African,no,yes,0.992299,0.001237,0.000734,1e-05,1e-05,0.00571,0.992299,African
HG02817,GWD,African,kg,,African,no,yes,0.986624,1e-05,1.5e-05,0.013331,1e-05,1e-05,0.986624,African
HG02818,GWD,African,kg,,,no,no,,,,,,,,
HG02819,GWD,African,kg,,African,no,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02820,GWD,African,kg,,African,no,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02821,GWD,African,kg,,,no,no,,,,,,,,
HG02836,GWD,African,kg,,African,no,yes,0.988571,1e-05,0.003456,0.005023,1e-05,0.002929,0.988571,African
HG02837,GWD,African,kg,,African,no,yes,0.995194,1e-05,0.004422,0.000354,1e-05,1e-05,0.995194,African
HG02838,GWD,African,kg,,,no,no,,,,,,,,
HG02839,GWD,African,kg,,African,no,yes,0.991868,1e-05,0.008084,1.8e-05,1e-05,1e-05,0.991868,African
HG02840,GWD,African,kg,,African,no,yes,0.992916,1e-05,0.005426,0.001628,1e-05,1e-05,0.992916,African
HG02841,GWD,African,kg,,,no,no,,,,,,,,
HG02851,GWD,African,kg,,African,no,yes,0.992727,1e-05,1e-05,0.005515,0.001728,1e-05,0.992727,African
HG02852,GWD,African,kg,,African,no,yes,0.986751,1e-05,1e-05,0.008598,0.004622,1e-05,0.986751,African
HG02853,GWD,African,kg,,,no,no,,,,,,,,
HG02854,GWD,African,kg,,African,no,yes,0.998962,1e-05,1e-05,1e-05,0.000998,1e-05,0.998962,African
HG02855,GWD,African,kg,,African,no,yes,0.995585,1e-05,1e-05,1e-05,0.004375,1e-05,0.995585,African
HG02856,GWD,African,kg,,,no,no,,,,,,,,
HG02860,GWD,African,kg,,African,no,yes,0.995202,1e-05,0.004149,1e-05,0.000619,1e-05,0.995202,African
HG02861,GWD,African,kg,,African,no,yes,0.994302,0.001023,0.001843,1e-05,0.002813,1e-05,0.994302,African
HG02862,GWD,African,kg,,,no,no,,,,,,,,
HG02869,GWD,African,kg,,,no,yes,0.9834,1e-05,1e-05,0.013791,0.002778,1e-05,0.9834,African
HG02870,GWD,African,kg,,African,no,yes,0.989646,1e-05,1e-05,1e-05,0.010314,1e-05,0.989646,African
HG02871,GWD,African,kg,,,no,no,,,,,,,,
HG02878,GWD,African,kg,,African,no,yes,0.991996,1e-05,0.007961,1.3e-05,1e-05,1e-05,0.991996,African
HG02879,GWD,African,kg,,African,no,yes,0.997601,1e-05,0.002359,1e-05,1e-05,1e-05,0.997601,African
HG02880,GWD,African,kg,,,no,no,,,,,,,,
HG02881,GWD,African,kg,,African,no,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02882,GWD,African,kg,,African,no,yes,0.997785,0.001478,1e-05,1e-05,0.000707,1e-05,0.997785,African
HG02883,GWD,African,kg,,,no,no,,,,,,,,
HG02884,GWD,African,kg,,African,no,yes,0.996143,1e-05,1e-05,1e-05,0.003817,1e-05,0.996143,African
HG02885,GWD,African,kg,,African,no,yes,0.99617,1e-05,1e-05,1e-05,0.00379,1e-05,0.99617,African
HG02886,GWD,African,kg,,,no,no,,,,,,,,
HG02887,GWD,African,kg,,African,no,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02888,GWD,African,kg,,African,no,yes,0.98819,1e-05,0.004961,1e-05,0.004493,0.002335,0.98819,African
HG02889,GWD,African,kg,,,no,no,,,,,,,,
HG02890,GWD,African,kg,,African,no,yes,0.986303,1e-05,1.6e-05,0.011174,0.002488,1e-05,0.986303,African
HG02891,GWD,African,kg,,African,no,yes,0.988802,1.4e-05,1e-05,0.008019,0.003144,1e-05,0.988802,African
HG02892,GWD,African,kg,,,no,no,,,,,,,,
HG02895,GWD,African,kg,,African,no,yes,0.999621,1e-05,0.000331,1.8e-05,1e-05,1e-05,0.999621,African
HG02896,GWD,African,kg,,African,no,yes,0.998203,1e-05,0.001757,1e-05,1e-05,1e-05,0.998203,African
HG02897,GWD,African,kg,,,no,no,,,,,,,,
HG02922,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02923,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02924,ESN,African,kg,,,yes,no,,,,,,,,
HG02938,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02941,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02943,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02944,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02945,ESN,African,kg,,,yes,no,,,,,,,,
HG02946,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02947,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02948,ESN,African,kg,,,yes,no,,,,,,,,
HG02952,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02953,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02954,ESN,African,kg,,,yes,no,,,,,,,,
HG02964,ESN,African,kg,,,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02965,ESN,African,kg,,,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02966,ESN,African,kg,,,yes,no,,,,,,,,
HG02968,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02970,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02971,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02972,ESN,African,kg,,,yes,no,,,,,,,,
HG02973,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02974,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02975,ESN,African,kg,,,yes,no,,,,,,,,
HG02976,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02977,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02978,ESN,African,kg,,,yes,no,,,,,,,,
HG02979,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02980,ESN,African,kg,,,yes,no,,,,,,,,
HG02981,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG02982,GWD,African,kg,,African,no,yes,0.994428,1e-05,0.004588,1e-05,0.000954,1e-05,0.994428,African
HG02983,GWD,African,kg,,African,no,yes,0.995644,1e-05,0.004173,1e-05,0.000153,1e-05,0.995644,African
HG02984,GWD,African,kg,,,no,no,,,,,,,,
HG03006,BEB,South Asian,kg,,South Asian,no,yes,1e-05,0.003044,0.115741,0.022532,0.011912,0.846761,0.846761,South Asian
HG03007,BEB,South Asian,kg,,South Asian,no,yes,1e-05,0.002383,0.12096,0.017582,0.005562,0.853503,0.853503,South Asian
HG03008,BEB,South Asian,kg,,,no,no,,,,,,,,
HG03009,BEB,South Asian,kg,,South Asian,no,yes,0.004255,0.001271,0.119415,0.033576,0.008557,0.832927,0.832927,South Asian
HG03012,BEB,South Asian,kg,,South Asian,no,yes,1e-05,1e-05,0.115794,0.007724,0.012699,0.863762,0.863762,South Asian
HG03015,PJL,South Asian,kg,,South Asian,no,yes,1e-05,0.006178,0.022573,0.032465,0.019682,0.919092,0.919092,South Asian
HG03016,PJL,South Asian,kg,,South Asian,no,yes,1e-05,0.013226,0.014811,0.032271,0.022826,0.916855,0.916855,South Asian
HG03017,PJL,South Asian,kg,,,no,no,,,,,,,,
HG03018,PJL,South Asian,kg,,South Asian,no,yes,0.003047,0.008217,0.023073,0.037771,0.003968,0.923924,0.923924,South Asian
HG03019,PJL,South Asian,kg,,South Asian,no,yes,1e-05,0.002936,0.037251,0.014841,0.006478,0.938484,0.938484,South Asian
HG03021,PJL,South Asian,kg,,South Asian,no,yes,0.003332,0.00439,0.02605,0.027367,0.008909,0.929952,0.929952,South Asian
HG03022,PJL,South Asian,kg,,South Asian,no,yes,0.000517,0.013853,0.016188,0.055219,0.005361,0.908861,0.908861,South Asian
HG03024,GWD,African,kg,,African,no,yes,0.999941,1e-05,1.9e-05,1e-05,1e-05,1e-05,0.999941,African
HG03025,GWD,African,kg,,African,no,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03026,GWD,African,kg,,,no,no,,,,,,,,
HG03027,GWD,African,kg,,African,no,yes,0.999946,1e-05,1e-05,1e-05,1e-05,1.4e-05,0.999946,African
HG03028,GWD,African,kg,,African,no,yes,0.996039,1.7e-05,0.000897,1e-05,0.003027,1e-05,0.996039,African
HG03029,GWD,African,kg,,,no,no,,,,,,,,
HG03033,GWD,African,kg,,,no,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03034,GWD,African,kg,,,no,yes,0.995113,1e-05,0.004847,1e-05,1e-05,1e-05,0.995113,African
HG03035,GWD,African,kg,,,no,no,,,,,,,,
HG03039,GWD,African,kg,,African,no,yes,0.997204,1e-05,0.002748,1.8e-05,1e-05,1e-05,0.997204,African
HG03040,GWD,African,kg,,African,no,yes,0.997388,1e-05,1.7e-05,1e-05,0.002565,1e-05,0.997388,African
HG03041,GWD,African,kg,,,no,no,,,,,,,,
HG03045,GWD,African,kg,,African,no,yes,0.988038,1e-05,1e-05,0.011922,1e-05,1e-05,0.988038,African
HG03046,GWD,African,kg,,African,no,yes,0.984628,1e-05,0.001903,0.008867,0.001653,0.002938,0.984628,African
HG03047,GWD,African,kg,,,no,no,,,,,,,,
HG03048,GWD,African,kg,,African,no,yes,0.994045,1e-05,0.004865,0.00106,1e-05,1e-05,0.994045,African
HG03049,GWD,African,kg,,African,no,yes,0.991559,1e-05,0.004273,1e-05,0.004138,1e-05,0.991559,African
HG03050,GWD,African,kg,,,no,no,,,,,,,,
HG03052,MSL,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03054,MSL,African,kg,,African,yes,yes,0.999944,1.6e-05,1e-05,1e-05,1e-05,1e-05,0.999944,African
HG03055,MSL,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03056,MSL,African,kg,,,yes,no,,,,,,,,
HG03057,MSL,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03058,MSL,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03060,MSL,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03061,MSL,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03063,MSL,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03064,MSL,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03065,MSL,African,kg,,,yes,no,,,,,,,,
HG03066,MSL,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03069,MSL,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03072,MSL,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03073,MSL,African,kg,,African,yes,yes,0.999947,1e-05,1.3e-05,1e-05,1e-05,1e-05,0.999947,African
HG03074,MSL,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03077,MSL,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03078,MSL,African,kg,,African,yes,yes,0.99791,1e-05,0.00205,1e-05,1e-05,1e-05,0.99791,African
HG03079,MSL,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03081,MSL,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03082,MSL,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03084,MSL,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03085,MSL,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03086,MSL,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03088,MSL,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03091,MSL,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03095,MSL,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03096,MSL,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03097,MSL,African,kg,,African,yes,no,,,,,,,,
HG03098,MSL,African,kg,,,yes,no,,,,,,,,
HG03099,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03100,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03101,ESN,African,kg,,,yes,no,,,,,,,,
HG03103,ESN,African,kg,,African,yes,yes,0.999947,1.3e-05,1e-05,1e-05,1e-05,1e-05,0.999947,African
HG03105,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03108,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03109,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03110,ESN,African,kg,,,yes,no,,,,,,,,
HG03111,ESN,African,kg,,African,yes,yes,0.999943,1e-05,1e-05,1.7e-05,1e-05,1e-05,0.999943,African
HG03112,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03113,ESN,African,kg,,,yes,no,,,,,,,,
HG03114,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03115,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03116,ESN,African,kg,,,yes,no,,,,,,,,
HG03117,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03118,ESN,African,kg,,African,yes,yes,0.999947,1.3e-05,1e-05,1e-05,1e-05,1e-05,0.999947,African
HG03119,ESN,African,kg,,,yes,no,,,,,,,,
HG03120,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03121,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03122,ESN,African,kg,,,yes,no,,,,,,,,
HG03123,ESN,African,kg,,African,yes,yes,0.999949,1e-05,1.1e-05,1e-05,1e-05,1e-05,0.999949,African
HG03124,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03125,ESN,African,kg,,,yes,no,,,,,,,,
HG03126,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03127,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03128,ESN,African,kg,,,yes,no,,,,,,,,
HG03129,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03130,ESN,African,kg,,African,yes,yes,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,African
HG03131,ESN,African,kg,,,yes,no,,,,,,,,
