sample_id,population_id,superpopulation,dataset,country,neural_ancestry,supervised,in_qc_panel,African,American,European,max_ancestry,assigned_group
HG01855,KHV,East Asian,kg,,East Asian,no,yes,0.005842,0.994148,1e-05,0.994148,American
HG01857,KHV,East Asian,kg,,East Asian,no,yes,0.00289,0.9971,1e-05,0.9971,American
HG01858,KHV,East Asian,kg,,East Asian,no,yes,0.002912,0.997078,1e-05,0.997078,American
HG01859,KHV,East Asian,kg,,East Asian,no,yes,1e-05,0.99998,1e-05,0.99998,American
HG01860,KHV,East Asian,kg,,East Asian,no,yes,1e-05,0.99998,1e-05,0.99998,American
HG01861,KHV,East Asian,kg,,East Asian,no,yes,0.007199,0.992791,1e-05,0.992791,American
HG01862,KHV,East Asian,kg,,East Asian,no,yes,0.003806,0.996184,1e-05,0.996184,American
HG01863,KHV,East Asian,kg,,East Asian,no,yes,1e-05,0.99998,1e-05,0.99998,American
HG01864,KHV,East Asian,kg,,East Asian,no,yes,0.000983,0.999007,1e-05,0.999007,American
HG01865,KHV,East Asian,kg,,East Asian,no,yes,0.00222,0.99777,1e-05,0.99777,American
HG01866,KHV,East Asian,kg,,East Asian,no,yes,0.002951,0.997039,1e-05,0.997039,American
HG01867,KHV,East Asian,kg,,East Asian,no,yes,0.008501,0.991489,1e-05,0.991489,American
HG01868,KHV,East Asian,kg,,East Asian,no,yes,0.006097,0.993893,1e-05,0.993893,American
HG01869,KHV,East Asian,kg,,East Asian,no,yes,1e-05,0.99998,1e-05,0.99998,American
HG01870,KHV,East Asian,kg,,East Asian,no,yes,0.001816,0.998174,1e-05,0.998174,American
HG01871,KHV,East Asian,kg,,East Asian,no,yes,0.006331,0.993659,1e-05,0.993659,American
HG01872,KHV,East Asian,kg,,East Asian,no,yes,0.002509,0.997481,1e-05,0.997481,American
HG01873,KHV,East Asian,kg,,East Asian,no,yes,0.004684,0.995306,1e-05,0.995306,American
HG01874,KHV,East Asian,kg,,East Asian,no,yes,1e-05,0.99998,1e-05,0.99998,American
HG01878,KHV,East Asian,kg,,East Asian,no,yes,0.002986,0.997004,1e-05,0.997004,American
HG01879,ACB,African,kg,,,no,yes,0.83958,0.014196,0.146224,0.83958,African
HG01880,ACB,African,kg,,,no,yes,0.583033,0.200496,0.21647,0.583033,African
HG01881,ACB,African,kg,,,no,no,,,,,
HG01882,ACB,African,kg,,,no,yes,0.960876,0.005623,0.033501,0.960876,African
HG01883,ACB,African,kg,,,no,yes,0.858545,0.000864,0.140591,0.858545,African
HG01884,ACB,African,kg,,,no,no,,,,,
HG01885,ACB,African,kg,,,no,yes,0.942976,0.000343,0.056681,0.942976,African
HG01886,ACB,African,kg,,,no,yes,0.88486,1e-05,0.11513,0.88486,African
HG01887,ACB,African,kg,,,no,no,,,,,
HG01888,ACB,African,kg,,,no,no,,,,,
HG01889,ACB,African,kg,,,no,yes,0.968842,0.003035,0.028123,0.968842,African
HG01890,ACB,African,kg,,,no,yes,0.876471,0.002884,0.120646,0.876471,African
HG01891,ACB,African,kg,,,no,no,,,,,
HG01892,PEL,American,kg,,,no,yes,0.045883,0.633512,0.320604,0.633512,American
HG01893,PEL,American,kg,,,no,yes,0.094977,0.480914,0.424109,0.480914,American
HG01894,ACB,African,kg,,,no,yes,0.916429,1e-05,0.083561,0.916429,African
HG01895,ACB,African,kg,,,no,no,,,,,
HG01896,ACB,African,kg,,,no,yes,0.96894,0.002161,0.028899,0.96894,African
HG01897,ACB,African,kg,,,no,no,,,,,
HG01898,PEL,American,kg,,,no,no,,,,,
HG01912,ACB,African,kg,,,no,yes,0.901067,1e-05,0.098923,0.901067,African
HG01914,ACB,African,kg,,,no,yes,0.846766,0.002802,0.150431,0.846766,African
HG01915,ACB,African,kg,,,no,yes,0.924188,0.006211,0.069601,0.924188,African
HG01916,ACB,African,kg,,,no,no,,,,,
HG01917,PEL,American,kg,,American,no,yes,1e-05,0.73394,0.26605,0.73394,American
HG01918,PEL,American,kg,,,no,yes,1e-05,0.658972,0.341018,0.658972,American
HG01919,PEL,American,kg,,,no,no,,,,,
HG01920,PEL,American,kg,,American,yes,yes,1e-05,0.857106,0.142884,0.857106,American
HG01921,PEL,American,kg,,,no,yes,1e-05,0.658579,0.341411,0.658579,American
HG01922,PEL,American,kg,,,no,no,,,,,
HG01923,PEL,American,kg,,American,no,yes,1e-05,0.827036,0.172954,0.827036,American
HG01924,PEL,American,kg,,,no,yes,0.093144,0.661274,0.245582,0.661274,American
HG01925,PEL,American,kg,,,no,no,,,,,
HG01926,PEL,American,kg,,American,yes,yes,1e-05,0.88775,0.11224,0.88775,American
HG01927,PEL,American,kg,,American,no,yes,1e-05,0.827332,0.172658,0.827332,American
HG01928,PEL,American,kg,,,no,no,,,,,
HG01932,PEL,American,kg,,,no,yes,1e-05,0.670424,0.329566,0.670424,American
HG01933,PEL,American,kg,,,no,yes,0.074891,0.599844,0.325265,0.599844,American
HG01934,PEL,American,kg,,,no,no,,,,,
HG01935,PEL,American,kg,,,no,yes,1e-05,0.612311,0.387679,0.612311,American
HG01936,PEL,American,kg,,,no,yes,0.012225,0.565072,0.422703,0.565072,American
HG01937,PEL,American,kg,,,no,no,,,,,
HG01938,PEL,American,kg,,American,yes,yes,1e-05,0.87008,0.12991,0.87008,American
HG01939,PEL,American,kg,,,no,yes,1e-05,0.655503,0.344487,0.655503,American
HG01940,PEL,American,kg,,,no,no,,,,,
HG01941,PEL,American,kg,,,no,yes,0.04067,0.707057,0.252274,0.707057,American
HG01942,PEL,American,kg,,,no,yes,1e-05,0.726162,0.273828,0.726162,American
HG01943,PEL,American,kg,,,no,no,,,,,
HG01944,PEL,American,kg,,,no,yes,0.005222,0.831128,0.16365,0.831128,American
HG01945,PEL,American,kg,,,no,yes,1e-05,0.6741,0.32589,0.6741,American
HG01946,PEL,American,kg,,,no,no,,,,,
HG01947,PEL,American,kg,,,no,yes,0.008224,0.5419,0.449876,0.5419,American
HG01948,PEL,American,kg,,,no,yes,0.144455,0.639188,0.216358,0.639188,American
HG01949,PEL,American,kg,,,no,no,,,,,
HG01950,PEL,American,kg,,American,no,yes,0.038618,0.746456,0.214926,0.746456,American
HG01951,PEL,American,kg,,American,yes,yes,0.005084,0.856306,0.13861,0.856306,American
HG01952,PEL,American,kg,,,no,no,,,,,
HG01953,PEL,American,kg,,American,no,yes,1e-05,0.770588,0.229402,0.770588,American
HG01954,PEL,American,kg,,American,no,yes,1e-05,0.801189,0.198801,0.801189,American
HG01955,PEL,American,kg,,,no,no,,,,,
HG01956,ACB,African,kg,,,no,yes,0.921461,1e-05,0.078529,0.921461,African
HG01958,ACB,African,kg,,,no,yes,0.8548,0.007322,0.137878,0.8548,African
HG01959,ACB,African,kg,,,no,no,,,,,
HG01960,ACB,African,kg,,,no,no,,,,,
HG01961,PEL,American,kg,,American,yes,yes,1e-05,0.886668,0.113322,0.886668,American
HG01965,PEL,American,kg,,,no,yes,0.062281,0.527305,0.410415,0.527305,American
HG01967,PEL,American,kg,,,no,yes,1e-05,0.518126,0.481864,0.518126,American
HG01968,PEL,American,kg,,American,no,yes,1e-05,0.851375,0.148615,0.851375,American
HG01969,PEL,American,kg,,,no,no,,,,,
HG01970,PEL,American,kg,,,no,yes,1e-05,0.554075,0.445915,0.554075,American
HG01971,PEL,American,kg,,,no,yes,0.13544,0.495219,0.369341,0.495219,American
HG01972,PEL,American,kg,,,no,no,,,,,
HG01973,PEL,American,kg,,,no,yes,0.010328,0.702475,0.287198,0.702475,American
HG01974,PEL,American,kg,,American,no,yes,1e-05,0.845357,0.154633,0.845357,American
HG01975,PEL,American,kg,,,no,no,,,,,
HG01976,PEL,American,kg,,,no,yes,1e-05,0.574594,0.425396,0.574594,American
HG01977,PEL,American,kg,,,no,yes,1e-05,0.676556,0.323434,0.676556,American
HG01978,PEL,American,kg,,,no,no,,,,,
HG01979,PEL,American,kg,,,no,yes,1e-05,0.610231,0.389759,0.610231,American
HG01980,PEL,American,kg,,,no,yes,0.007114,0.617578,0.375308,0.617578,American
HG01981,PEL,American,kg,,,no,no,,,,,
HG01982,PEL,American,kg,,,no,yes,1e-05,0.664778,0.335212,0.664778,American
HG01983,PEL,American,kg,,,no,yes,1e-05,0.589857,0.410133,0.589857,American
HG01984,PEL,American,kg,,,no,no,,,,,
HG01985,ACB,African,kg,,,no,yes,0.918811,0.001393,0.079795,0.918811,African
HG01986,ACB,African,kg,,,no,yes,0.866978,1e-05,0.133012,0.866978,African
HG01987,ACB,African,kg,,,no,no,,,,,
HG01988,ACB,African,kg,,,no,yes,0.559161,1e-05,0.440829,0.559161,African
HG01989,ACB,African,kg,,,no,yes,0.850197,1e-05,0.149793,0.850197,African
HG01990,ACB,African,kg,,,no,yes,0.929851,0.002517,0.067633,0.929851,African
HG01991,PEL,American,kg,,,no,yes,0.00223,0.633402,0.364368,0.633402,American
HG01992,PEL,American,kg,,American,no,yes,1e-05,0.790663,0.209327,0.790663,American
HG01993,PEL,American,kg,,,no,no,,,,,
HG01997,PEL,American,kg,,American,no,yes,1e-05,0.759328,0.240662,0.759328,American
HG01998,PEL,American,kg,,,no,no,,,,,
HG02002,PEL,American,kg,,,no,yes,1e-05,0.669589,0.330401,0.669589,American
HG02003,PEL,American,kg,,,no,yes,1e-05,0.705075,0.294915,0.705075,American
HG02004,PEL,American,kg,,,no,no,,,,,
HG02006,PEL,American,kg,,,no,yes,0.373749,0.273977,0.352273,0.373749,African
HG02008,PEL,American,kg,,,no,yes,1e-05,0.734688,0.265302,0.734688,American
HG02009,ACB,African,kg,,,no,yes,0.853704,3.5e-05,0.146261,0.853704,African
HG02010,ACB,African,kg,,,no,yes,0.837557,1e-05,0.162433,0.837557,African
HG02011,ACB,African,kg,,,no,no,,,,,
HG02012,ACB,African,kg,,,no,yes,0.922477,0.001746,0.075777,0.922477,African
HG02013,ACB,African,kg,,,no,yes,0.96719,0.004889,0.02792,0.96719,African
HG02014,ACB,African,kg,,,no,yes,0.864306,0.001276,0.134418,0.864306,African
HG02015,KHV,East Asian,kg,,,no,no,,,,,
HG02016,KHV,East Asian,kg,,East Asian,no,yes,0.013257,0.955224,0.031519,0.955224,American
HG02017,KHV,East Asian,kg,,East Asian,no,yes,0.008836,0.990427,0.000737,0.990427,American
HG02018,KHV,East Asian,kg,,,no,no,,,,,
HG02019,KHV,East Asian,kg,,East Asian,no,yes,0.001624,0.998366,1e-05,0.998366,American
HG02020,KHV,East Asian,kg,,East Asian,no,yes,0.004883,0.995107,1e-05,0.995107,American
HG02023,KHV,East Asian,kg,,East Asian,no,yes,1e-05,0.99998,1e-05,0.99998,American
HG02024,KHV,East Asian,kg,,,no,no,,,,,
HG02025,KHV,East Asian,kg,,East Asian,no,yes,0.00353,0.99646,1e-05,0.99646,American
HG02026,KHV,East Asian,kg,,East Asian,no,yes,1e-05,0.99998,1e-05,0.99998,American
HG02027,KHV,East Asian,kg,,,no,no,,,,,
HG02028,KHV,East Asian,kg,,East Asian,no,yes,1e-05,0.99998,1e-05,0.99998,American
HG02029,KHV,East Asian,kg,,East Asian,no,yes,1e-05,0.99998,1e-05,0.99998,American
HG02030,KHV,East Asian,kg,,,no,no,,,,,
HG02031,KHV,East Asian,kg,,East Asian,no,yes,1e-05,0.99998,1e-05,0.99998,American
HG02032,KHV,East Asian,kg,,East Asian,no,yes,1e-05,0.99998,1e-05,0.99998,American
HG02035,KHV,East Asian,kg,,East Asian,no,yes,0.00592,0.99407,1e-05,0.99407,American
HG02040,KHV,East Asian,kg,,East Asian,no,yes,1e-05,0.99998,1e-05,0.99998,American
HG02047,KHV,East Asian,kg,,East Asian,no,yes,0.007606,0.992384,1e-05,0.992384,American
HG02048,KHV,East Asian,kg,,East Asian,no,yes,0.003697,0.996293,1e-05,0.996293,American
HG02049,KHV,East Asian,kg,,East Asian,no,yes,0.004002,0.995988,1e-05,0.995988,American
HG02050,KHV,East Asian,kg,,East Asian,no,yes,1e-05,0.99998,1e-05,0.99998,American
HG02051,ACB,African,kg,,,no,yes,0.98003,1e-05,0.01996,0.98003,African
HG02052,ACB,African,kg,,,no,yes,0.968639,1e-05,0.031351,0.968639,African
HG02053,ACB,African,kg,,,no,yes,0.939802,0.000894,0.059305,0.939802,African
HG02054,ACB,African,kg,,,no,yes,0.86408,1e-05,0.13591,0.86408,African
HG02055,ACB,African,kg,,,no,no,,,,,
HG02056,KHV,East Asian,kg,,,no,no,,,,,
HG02057,KHV,East Asian,kg,,East Asian,no,yes,0.003359,0.996631,1e-05,0.996631,American
HG02058,KHV,East Asian,kg,,East Asian,no,yes,0.016044,0.974556,0.0094,0.974556,American
HG02059,KHV,East Asian,kg,,,no,no,,,,,
HG02060,KHV,East Asian,kg,,East Asian,no,yes,1.9e-05,0.999971,1e-05,0.999971,American
HG02061,KHV,East Asian,kg,,East Asian,no,yes,0.006644,0.993346,1e-05,0.993346,American
HG02064,KHV,East Asian,kg,,East Asian,no,yes,0.003308,0.996682,1e-05,0.996682,American
HG02067,KHV,East Asian,kg,,East Asian,no,yes,0.003321,0.996669,1e-05,0.996669,American
HG02068,KHV,East Asian,kg,,,no,no,,,,,
HG02069,KHV,East Asian,kg,,East Asian,no,yes,0.007839,0.992151,1e-05,0.992151,American
HG02070,KHV,East Asian,kg,,East Asian,no,yes,0.004322,0.995668,1e-05,0.995668,American
HG02071,KHV,East Asian,kg,,,no,no,,,,,
HG02072,KHV,East Asian,kg,,East Asian,no,yes,0.00659,0.9934,1e-05,0.9934,American
HG02073,KHV,East Asian,kg,,East Asian,no,yes,0.003528,0.996462,1e-05,0.996462,American
HG02074,KHV,East Asian,kg,,,no,no,,,,,
HG02075,KHV,East Asian,kg,,East Asian,no,yes,0.002679,0.997311,1e-05,0.997311,American
HG02076,KHV,East Asian,kg,,East Asian,no,yes,1e-05,0.99998,1e-05,0.99998,American
HG02077,KHV,East Asian,kg,,,no,no,,,,,
HG02078,KHV,East Asian,kg,,East Asian,no,yes,1e-05,0.99998,1e-05,0.99998,American
HG02079,KHV,East Asian,kg,,East Asian,no,yes,0.005014,0.994976,1e-05,0.994976,American
HG02080,KHV,East Asian,kg,,,no,no,,,,,
HG02081,KHV,East Asian,kg,,East Asian,no,yes,0.002977,0.997013,1e-05,0.997013,American
HG02082,KHV,East Asian,kg,,East Asian,no,yes,0.003007,0.996983,1e-05,0.996983,American
HG02083,KHV,East Asian,kg,,,no,no,,,,,
HG02084,KHV,East Asian,kg,,East Asian,no,yes,1e-05,0.99998,1e-05,0.99998,American
HG02085,KHV,East Asian,kg,,East Asian,no,yes,1e-05,0.99998,1e-05,0.99998,American
HG02086,KHV,East Asian,kg,,East Asian,no,yes,0.004411,0.995579,1e-05,0.995579,American
HG02087,KHV,East Asian,kg,,East Asian,no,yes,0.000715,0.999275,1e-05,0.999275,American
HG02088,KHV,East Asian,kg,,East Asian,no,yes,4.4e-05,0.999946,1e-05,0.999946,American
HG02089,PEL,American,kg,,,no,yes,0.001141,0.552273,0.446586,0.552273,American
HG02090,PEL,American,kg,,,no,yes,0.110921,0.475901,0.413178,0.475901,American
HG02091,PEL,American,kg,,,no,no,,,,,
HG02095,ACB,African,kg,,,no,yes,0.92474,0.000282,0.074978,0.92474,African
HG02102,PEL,American,kg,,,no,yes,1e-05,0.728398,0.271592,0.728398,American
HG02104,PEL,American,kg,,American,no,yes,1e-05,0.788911,0.211079,0.788911,American
HG02105,PEL,American,kg,,American,no,yes,1e-05,0.836933,0.163057,0.836933,American
HG02106,PEL,American,kg,,,no,no,,,,,
HG02107,ACB,African,kg,,,no,yes,0.968465,0.00064,0.030895,0.968465,African
HG02108,ACB,African,kg,,,no,yes,0.823446,0.000265,0.176289,0.823446,African
HG02111,ACB,African,kg,,,no,yes,0.923205,0.003635,0.073161,0.923205,African
HG02113,KHV,East Asian,kg,,East Asian,no,yes,0.002939,0.997051,1e-05,0.997051,American
HG02116,KHV,East Asian,kg,,East Asian,no,yes,0.003939,0.990985,0.005076,0.990985,American
HG02120,KHV,East Asian,kg,,,no,no,,,,,
HG02121,KHV,East Asian,kg,,East Asian,no,yes,0.004633,0.995357,1e-05,0.995357,American
HG02122,KHV,East Asian,kg,,East Asian,no,yes,1e-05,0.99998,1e-05,0.99998,American
HG02126,KHV,East Asian,kg,,,no,no,,,,,
HG02127,KHV,East Asian,kg,,East Asian,no,yes,1e-05,0.99998,1e-05,0.99998,American
HG02128,KHV,East Asian,kg,,East Asian,no,yes,0.002853,0.997137,1e-05,0.997137,American
HG02129,KHV,East Asian,kg,,,no,no,,,,,
HG02130,KHV,East Asian,kg,,East Asian,no,yes,0.001781,0.998209,1e-05,0.998209,American
HG02131,KHV,East Asian,kg,,East Asian,no,yes,0.012612,0.961368,0.026019,0.961368,American
HG02132,KHV,East Asian,kg,,,no,no,,,,,
HG02133,KHV,East Asian,kg,,East Asian,no,yes,1e-05,0.99998,1e-05,0.99998,American
HG02134,KHV,East Asian,kg,,East Asian,no,yes,0.009083,0.990907,1e-05,0.990907,American
HG02135,KHV,East Asian,kg,,,no,no,,,,,
HG02136,KHV,East Asian,kg,,East Asian,no,yes,0.004045,0.995945,1e-05,0.995945,American
HG02137,KHV,East Asian,kg,,East Asian,no,yes,0.003659,0.996331,1e-05,0.996331,American
HG02138,KHV,East Asian,kg,,East Asian,no,yes,1e-05,0.99998,1e-05,0.99998,American
HG02139,KHV,East Asian,kg,,East Asian,no,yes,0.000413,0.999577,1e-05,0.999577,American
HG02140,KHV,East Asian,kg,,East Asian,no,yes,0.002937,0.997053,1e-05,0.997053,American
HG02141,KHV,East Asian,kg,,East Asian,no,yes,0.004167,0.995823,1e-05,0.995823,American
HG02142,KHV,East Asian,kg,,East Asian,no,yes,0.000672,0.910131,0.089197,0.910131,American
HG02143,ACB,African,kg,,,no,yes,0.820522,1e-05,0.179468,0.820522,African
HG02144,ACB,African,kg,,,no,yes,0.939586,0.002711,0.057704,0.939586,African
HG02145,ACB,African,kg,,,no,no,,,,,
HG02146,PEL,American,kg,,American,no,yes,1e-05,0.758969,0.241021,0.758969,American
HG02147,PEL,American,kg,,American,no,yes,1e-05,0.801032,0.198958,0.801032,American
HG02148,PEL,American,kg,,,no,no,,,,,
HG02150,PEL,American,kg,,American,no,yes,1e-05,0.825288,0.174702,0.825288,American
HG02151,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02152,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02153,CDX,East Asian,kg,,East Asian,yes,yes,0.00054,0.99945,1e-05,0.99945,American
HG02154,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02155,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02156,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02164,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02165,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02166,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02178,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02179,CDX,East Asian,kg,,East Asian,yes,no,,,,,
HG02180,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02181,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02182,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02184,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02185,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02186,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02187,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02188,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02190,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02215,GBR,European,kg,,European,yes,yes,1e-05,1e-05,0.99998,0.99998,European
HG02219,IBS,European,kg,,European,yes,yes,0.009507,1e-05,0.990483,0.990483,European
HG02220,IBS,European,kg,,European,yes,yes,0.014564,1e-05,0.985426,0.985426,European
HG02221,IBS,European,kg,,European,yes,yes,0.015496,1e-05,0.984494,0.984494,European
HG02222,IBS,European,kg,,,yes,no,,,,,
HG02223,IBS,European,kg,,European,yes,yes,0.00991,1e-05,0.99008,0.99008,European
HG02224,IBS,European,kg,,European,yes,yes,0.003511,1e-05,0.996479,0.996479,European
HG02225,IBS,European,kg,,,yes,no,,,,,
HG02229,IBS,European,kg,,,yes,no,,,,,
HG02230,IBS,European,kg,,European,yes,yes,0.003448,1e-05,0.996542,0.996542,European
HG02231,IBS,European,kg,,European,yes,yes,0.002298,1e-05,0.997692,0.997692,European
HG02232,IBS,European,kg,,European,yes,yes,0.019777,1e-05,0.980213,0.980213,European
HG02233,IBS,European,kg,,European,yes,yes,0.029505,1e-05,0.970485,0.970485,European
HG02234,IBS,European,kg,,,yes,no,,,,,
HG02235,IBS,European,kg,,European,yes,yes,0.016867,1e-05,0.983123,0.983123,European
HG02236,IBS,European,kg,,European,yes,yes,0.013902,1e-05,0.986088,0.986088,European
HG02237,IBS,European,kg,,,yes,no,,,,,
HG02238,IBS,European,kg,,European,yes,yes,0.015403,1e-05,0.984587,0.984587,European
HG02239,IBS,European,kg,,European,yes,yes,0.040854,1e-05,0.959136,0.959136,European
HG02240,IBS,European,kg,,,yes,no,,,,,
HG02250,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02252,PEL,American,kg,,,no,yes,0.004455,0.553829,0.441716,0.553829,American
HG02253,PEL,American,kg,,,no,yes,1e-05,0.463772,0.536218,0.536218,European
HG02255,ACB,African,kg,,,no,yes,0.925581,0.001336,0.073083,0.925581,African
HG02256,ACB,African,kg,,,no,yes,0.782971,0.017131,0.199898,0.782971,African
HG02257,ACB,African,kg,,,no,no,,,,,
HG02258,ACB,African,kg,,,no,no,,,,,
HG02259,PEL,American,kg,,American,yes,yes,1e-05,0.864634,0.135356,0.864634,American
HG02260,PEL,American,kg,,,no,yes,1e-05,0.712996,0.286994,0.712996,American
HG02261,PEL,American,kg,,,no,no,,,,,
HG02262,PEL,American,kg,,,no,yes,1e-05,0.667281,0.332709,0.667281,American
HG02265,PEL,American,kg,,American,no,yes,1e-05,0.821341,0.178649,0.821341,American
HG02266,PEL,American,kg,,American,no,yes,1e-05,0.824517,0.175473,0.824517,American
HG02271,PEL,American,kg,,American,yes,yes,1e-05,0.861748,0.138242,0.861748,American
HG02272,PEL,American,kg,,American,yes,yes,1e-05,0.911732,0.088258,0.911732,American
HG02273,PEL,American,kg,,,no,no,,,,,
HG02274,PEL,American,kg,,,no,yes,0.231719,0.530033,0.238248,0.530033,American
HG02275,PEL,American,kg,,American,no,yes,1e-05,0.836461,0.163529,0.836461,American
HG02277,PEL,American,kg,,,no,yes,1e-05,0.572473,0.427517,0.572473,American
HG02278,PEL,American,kg,,American,no,yes,1e-05,0.800355,0.199635,0.800355,American
HG02279,PEL,American,kg,,,no,no,,,,,
HG02280,ACB,African,kg,,,no,no,,,,,
HG02281,ACB,African,kg,,,no,yes,0.956787,0.007713,0.035501,0.956787,African
HG02282,ACB,African,kg,,,no,yes,0.799594,1e-05,0.200396,0.799594,African
HG02283,ACB,African,kg,,,no,yes,0.795833,1e-05,0.204157,0.795833,African
HG02284,ACB,African,kg,,,no,yes,0.845675,1e-05,0.154315,0.845675,African
HG02285,PEL,American,kg,,,no,yes,0.000269,0.679611,0.32012,0.679611,American
HG02286,PEL,American,kg,,,no,yes,1e-05,0.637765,0.362225,0.637765,American
HG02287,PEL,American,kg,,,no,no,,,,,
HG02291,PEL,American,kg,,American,no,yes,1e-05,0.851801,0.148189,0.851801,American
HG02292,PEL,American,kg,,American,no,yes,1e-05,0.742255,0.257735,0.742255,American
HG02293,PEL,American,kg,,,no,no,,,,,
HG02298,PEL,American,kg,,,no,yes,0.000675,0.5243,0.475026,0.5243,American
HG02299,PEL,American,kg,,American,no,yes,1e-05,0.743246,0.256744,0.743246,American
HG02300,PEL,American,kg,,,no,no,,,,,
HG02301,PEL,American,kg,,,no,yes,1e-05,0.70815,0.29184,0.70815,American
HG02302,PEL,American,kg,,,no,no,,,,,
HG02303,PEL,American,kg,,,no,no,,,,,
HG02304,PEL,American,kg,,,no,yes,0.035264,0.683344,0.281392,0.683344,American
HG02307,ACB,African,kg,,,no,yes,0.942465,0.001932,0.055603,0.942465,African
HG02308,ACB,African,kg,,,no,yes,0.891971,0.000389,0.107639,0.891971,African
HG02309,ACB,African,kg,,,no,yes,0.891668,1e-05,0.108322,0.891668,African
HG02312,PEL,American,kg,,,no,yes,1e-05,0.520466,0.479524,0.520466,American
HG02314,ACB,African,kg,,,no,yes,0.93298,0.001015,0.066005,0.93298,African
HG02315,ACB,African,kg,,,no,yes,0.874759,1e-05,0.125231,0.874759,African
HG02316,ACB,African,kg,,,no,no,,,,,
HG02317,ACB,African,kg,,,no,yes,0.944368,1e-05,0.055622,0.944368,African
HG02318,ACB,African,kg,,,no,yes,0.95172,0.006763,0.041518,0.95172,African
HG02321,ACB,African,kg,,,no,no,,,,,
HG02322,ACB,African,kg,,,no,yes,0.878979,1e-05,0.121011,0.878979,African
HG02323,ACB,African,kg,,,no,yes,0.93119,1e-05,0.0688,0.93119,African
HG02325,ACB,African,kg,,,no,yes,0.971285,0.004627,0.024089,0.971285,African
HG02330,ACB,African,kg,,,no,yes,0.899031,1e-05,0.100959,0.899031,African
HG02332,ACB,African,kg,,,no,yes,0.911743,1e-05,0.088247,0.911743,African
HG02334,ACB,African,kg,,,no,yes,0.761188,0.004992,0.233819,0.761188,African
HG02337,ACB,African,kg,,,no,yes,0.873463,0.000586,0.125951,0.873463,African
HG02339,ACB,African,kg,,,no,yes,0.986228,1e-05,0.013762,0.986228,African
HG02343,ACB,African,kg,,,no,yes,0.773808,1e-05,0.226182,0.773808,African
HG02345,PEL,American,kg,,,no,yes,0.057073,0.49922,0.443706,0.49922,American
HG02348,PEL,American,kg,,,no,yes,1e-05,0.718239,0.281751,0.718239,American
HG02351,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02353,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02355,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02356,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02360,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02364,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02367,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02371,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02373,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02374,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02375,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG02379,CDX,East Asian,kg,,East Asian,yes,no,,,,,
HG02380,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
